geo,trade_type,partner,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
ES,Export,EU28,332776.0,311588.0,301034.0,292647.0,293859.0,263992.0,227985.0,266870.0,262152.0,242760.0,224497.0,218726.0,208154.0,199081.0,,,
ES,Export,EXT_EU28,178104.0,176986.0,177596.0,166958.0,146590.0,119831.0,97997.0,115907.0,107491.0,97662.0,85132.0,74728.0,67918.0,66755.0,,,
ES,Import,EU28,340856.0,309675.0,283391.0,284755.0,308041.0,291244.0,262203.0,339293.0,358096.0,323541.0,297983.0,282262.0,255755.0,241542.0,,,
ES,Import,EXT_EU28,221740.0,230668.0,229519.0,240369.0,233059.0,202104.0,158241.0,232918.0,210020.0,200029.0,166233.0,133050.0,113059.0,107665.0,,,
EU28,Export,EU28,6140607.0,5864543.0,5677316.0,5673476.0,5644778.0,5112932.0,4427973.0,5479161.0,5361878.0,5031897.0,4464325.0,4173739.0,3854353.0,3818366.0,,,
EU28,Export,EXT_EU28,3581303.0,3406038.0,3473297.0,3368521.0,3108358.0,2706392.0,2187922.0,2618295.0,2468964.0,2304970.0,2098946.0,1890370.0,1723332.0,1770688.0,,,
EU28,Import,EU28,5960314.0,5708029.0,5539759.0,5537966.0,5508851.0,4968544.0,4295840.0,5329674.0,5225078.0,4866384.0,4322408.0,4019138.0,3669204.0,3625779.0,,,
EU28,Import,EXT_EU28,3452966.0,3383759.0,3374651.0,3590140.0,3453397.0,3058774.0,2471272.0,3170462.0,2900680.0,2736509.0,2367866.0,2054783.0,1870323.0,1874074.0,,,
FI,Export,EU28,63513.0,64161.0,61957.0,61077.0,63476.0,57074.0,50209.0,73456.0,74760.0,70526.0,59870.0,57490.0,56692.0,58440.0,,,
FI,Export,EXT_EU28,44286.0,47785.0,50138.0,52678.0,50235.0,47804.0,39918.0,57704.0,56615.0,52452.0,45411.0,41391.0,37316.0,37044.0,,,
FI,Import,EU28,79086.0,78712.0,77409.0,74786.0,74495.0,66636.0,56816.0,77450.0,76406.0,70708.0,63034.0,55720.0,51349.0,50598.0,,,
FI,Import,EXT_EU28,29416.0,36827.0,39403.0,44248.0,46575.0,37162.0,30494.0,47353.0,42829.0,39796.0,31434.0,26987.0,23817.0,21774.0,,,
FR,Export,EU28,536410.0,525248.0,519654.0,521817.0,522818.0,481867.0,435460.0,536083.0,536078.0,518312.0,473810.0,480497.0,463154.0,457700.0,,,
FR,Export,EXT_EU28,375569.0,348625.0,355226.0,363468.0,334184.0,308306.0,260610.0,301882.0,280575.0,271540.0,270981.0,245920.0,229985.0,243908.0,,,
FR,Import,EU28,705030.0,689268.0,695477.0,704013.0,697139.0,631178.0,561721.0,664828.0,640204.0,597508.0,547580.0,527436.0,495548.0,478078.0,,,
FR,Import,EXT_EU28,326847.0,329330.0,330752.0,345825.0,337384.0,290703.0,246475.0,309872.0,280426.0,265695.0,262747.0,229574.0,209616.0,218329.0,,,
HR,Export,EU28,15372.0,13236.0,11798.0,11205.0,11472.0,10878.0,9096.0,11685.0,10859.0,10615.0,8950.0,8499.0,7466.0,6853.0,,,
HR,Export,EXT_EU28,7971.0,7626.0,7264.0,8052.0,7691.0,6931.0,5934.0,7486.0,7149.0,5888.0,4971.0,3939.0,3462.0,3521.0,,,
HR,Import,EU28,28841.0,26142.0,22180.0,20268.0,20130.0,18219.0,19088.0,26699.0,24397.0,22977.0,20304.0,18961.0,18349.0,16291.0,,,
HR,Import,EXT_EU28,8275.0,8166.0,10983.0,12162.0,12432.0,12054.0,11349.0,14935.0,13269.0,11232.0,9496.0,7523.0,6728.0,6363.0,,,
HU,Export,EU28,144757.0,133224.0,126008.0,124796.0,124916.0,112937.0,95436.0,117672.0,111995.0,96738.0,83292.0,75367.0,64883.0,62319.0,,,
HU,Export,EXT_EU28,33111.0,33309.0,35882.0,36426.0,36452.0,31110.0,23589.0,29873.0,27225.0,23132.0,17519.0,13150.0,11309.0,10688.0,,,
HU,Import,EU28,127282.0,118752.0,108121.0,104745.0,102667.0,90504.0,76862.0,101551.0,97308.0,87825.0,74998.0,66876.0,54651.0,52044.0,,,
