partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EUR,EXP,SITC5-8,MT	23.7 	27.3 	22.3 
EXT_EU,EUR,EXP,SITC5-8,NL	52.6 	51.6 	55.7 
EXT_EU,EUR,EXP,SITC5-8,PL	0 	0 	0.3 
EXT_EU,EUR,EXP,SITC5-8,PT	70.6 	72.5 	74.3 
EXT_EU,EUR,EXP,SITC5-8,RO	64 	64.4 	63.5 
EXT_EU,EUR,EXP,SITC5-8,SE	22 	24.8 	22.8 
EXT_EU,EUR,EXP,SITC5-8,SI	78.1 	82.3 	85.2 
EXT_EU,EUR,EXP,SITC5-8,SK	82.6 	88 	81 
EXT_EU,EUR,EXP,SITC5-8,UK	4.1 	4.1 	4.1 
EXT_EU,EUR,EXP,TOTAL,AT	71.7 	73.6 	74.4 
EXT_EU,EUR,EXP,TOTAL,BE	41.4 	50.9 	51.6 
EXT_EU,EUR,EXP,TOTAL,BG	41.7 	36.7 	43.2 
EXT_EU,EUR,EXP,TOTAL,CY	67.4 	57.2 	63.5 
EXT_EU,EUR,EXP,TOTAL,CZ	49.5 	50.5 	50.5 
EXT_EU,EUR,EXP,TOTAL,DE	61.8 	64.6 	66.6 
EXT_EU,EUR,EXP,TOTAL,DK	22.7 	22.3 	22.8 
EXT_EU,EUR,EXP,TOTAL,EA	58.7 	60.3 	60.4 
EXT_EU,EUR,EXP,TOTAL,EE	63 	53.8 	44.1 
EXT_EU,EUR,EXP,TOTAL,EL	32.9 	36.6 	44.8 
EXT_EU,EUR,EXP,TOTAL,ES	62.7 	61.2 	68.3 
EXT_EU,EUR,EXP,TOTAL,EU	48.9 	50.4 	51.1 
EXT_EU,EUR,EXP,TOTAL,FI	58.9 	50.2 	48 
EXT_EU,EUR,EXP,TOTAL,FR	52.7 	52.7 	52 
EXT_EU,EUR,EXP,TOTAL,HR	73.7 	: 	: 
EXT_EU,EUR,EXP,TOTAL,HU	50 	44.4 	48.6 
EXT_EU,EUR,EXP,TOTAL,IE	14 	11.3 	10.4 
EXT_EU,EUR,EXP,TOTAL,IT	72.3 	72.6 	73 
EXT_EU,EUR,EXP,TOTAL,LT	59.4 	56.8 	48.5 
EXT_EU,EUR,EXP,TOTAL,LU	56 	74.2 	70.1 
EXT_EU,EUR,EXP,TOTAL,LV	64.6 	60.4 	66.5 
EXT_EU,EUR,EXP,TOTAL,MT	21.9 	19.2 	27.4 
EXT_EU,EUR,EXP,TOTAL,NL	56.9 	56.4 	56 
EXT_EU,EUR,EXP,TOTAL,PL	0 	0 	0.3 
EXT_EU,EUR,EXP,TOTAL,PT	65.5 	65.6 	69.3 
EXT_EU,EUR,EXP,TOTAL,RO	51.4 	52 	52.1 
EXT_EU,EUR,EXP,TOTAL,SE	20.5 	23.3 	23.9 
EXT_EU,EUR,EXP,TOTAL,SI	79.2 	83.6 	85.5 
EXT_EU,EUR,EXP,TOTAL,SK	82.7 	88.1 	81.3 
EXT_EU,EUR,EXP,TOTAL,UK	3.3 	3.5 	3.6 
EXT_EU,EUR,IMP,SITC0-4A,AT	68 	77.7 	72.1 
EXT_EU,EUR,IMP,SITC0-4A,BE	50.4 	53.7 	60.4 
EXT_EU,EUR,IMP,SITC0-4A,BG	16.1 	14.6 	17.4 
EXT_EU,EUR,IMP,SITC0-4A,CY	40.7 	37.3 	35.3 
EXT_EU,EUR,IMP,SITC0-4A,CZ	59.9 	24.6 	27.1 
EXT_EU,EUR,IMP,SITC0-4A,DE	62.4 	65.8 	63 
EXT_EU,EUR,IMP,SITC0-4A,DK	31.1 	29.3 	29.7 
EXT_EU,EUR,IMP,SITC0-4A,EA	51.9 	52.3 	55.2 
EXT_EU,EUR,IMP,SITC0-4A,EE	78.2 	75.4 	78.5 
EXT_EU,EUR,IMP,SITC0-4A,EL	27.7 	23.3 	32.1 
EXT_EU,EUR,IMP,SITC0-4A,ES	39.8 	40.1 	41.9 
EXT_EU,EUR,IMP,SITC0-4A,EU	45.3 	45.4 	47.3 
